qdot,S_q,Suu_q,Sud_q,Sx_q,Sc_q,q,D_q,beta,theta,M
5,0.9971178214752886,0.997127131743684,-9.310268395416829e-06,-0.0028927326256356,1.986436931961967e-05,6.917651335759596,24,0.0543010717965206,10.0,38
6,0.996655256069776,0.996664216841032,-8.960771256045649e-06,-0.0033451767167774,9.393557809580864e-06,7.577907363102549,16,0.0543010717965206,10.0,38
8,0.9977683790346334,0.9977705616862268,-2.1826515934542645e-06,-0.002229438313773,0.0,8.750213711962608,6,0.0543010717965206,10.0,38
1,0.9765295003578248,0.979601687167324,-0.003072186809499,-0.0193025576592271,-0.0010957551734488,3.0936677262801355,6,0.1086021435930413,5.0,38
2,0.9866431598874744,0.987438761723999,-0.0007956018365245,-0.0127613320624169,0.000200093786416,4.375106855981304,12,0.1086021435930413,5.0,38
3,0.9915898333147964,0.9918605979634731,-0.0002707646486767,-0.0083860297805876,0.0002466277440608,5.358389683653281,8,0.1086021435930413,5.0,38
4,0.994402239089103,0.9945047681389118,-0.0001025290498087,-0.0056671644980353,0.0001719326369471,6.187335452560271,6,0.1086021435930413,5.0,38
5,0.9972333612511568,0.9972503215856516,-1.6960334494993217e-05,-0.002789202746823,3.952433247470043e-05,6.917651335759596,24,0.1086021435930413,5.0,38
6,0.9975148853829616,0.9975271774621643,-1.2292079202914138e-05,-0.0024865852784692,1.3762740633663156e-05,7.577907363102549,16,0.1086021435930413,5.0,38
8,0.9983401952382492,0.998343071000488,-2.87576223867616e-06,-0.0016569289995121,0.0,8.750213711962608,6,0.1086021435930413,5.0,38
1,0.9566013861703287,0.966079744172506,-0.009478358002177,-0.0311279735858295,-0.0027922822416645,3.0936677262801355,6,0.2715053589826032,2.0,38
2,0.9851137382143024,0.987043083043456,-0.0019293448291536,-0.0137610320479632,0.0008041150914191,4.375106855981304,12,0.2715053589826032,2.0,38
3,0.9948524571426952,0.9952523648756572,-0.000399907732962,-0.0052042627313254,0.0004566276069826,5.358389683653281,8,0.2715053589826032,2.0,38
4,0.9960455882390242,0.996133689740308,-8.81015012838863e-05,-0.0041136905228847,0.0002473802631928,6.187335452560271,6,0.2715053589826032,2.0,38
5,0.99833083244106,0.998349803179228,-1.8970738167901383e-05,-0.0017262892273459,7.609240657383053e-05,6.917651335759596,24,0.2715053589826032,2.0,38
6,0.9992998970011068,0.9993035700370952,-3.673035988276479e-06,-0.0007052294729152,8.799510010436864e-06,7.577907363102549,16,0.2715053589826032,2.0,38
8,0.9995295142653372,0.9995295084174906,5.847846541465955e-09,-0.0004704915825094,0.0,8.750213711962608,6,0.2715053589826032,2.0,38
1,0.9317013875780704,0.9512755361660932,-0.0195741485880225,-0.0452738428311493,-0.0034506210027576,3.0936677262801355,6,0.5430107179652065,1.0,38
2,0.9917186712229596,0.9951238493707952,-0.0034051781478357,-0.0063460602437571,0.0014699096145524,4.375106855981304,12,0.5430107179652065,1.0,38
3,0.9995094608138548,0.9995139050595092,-4.444245654302098e-06,-0.0006951812691464,0.0002090863286555,5.358389683653281,8,0.5430107179652065,1.0,38
4,0.9985803960802396,0.9984904671040624,8.992897617725414e-05,-0.0015823835093539,7.28506134163725e-05,6.187335452560271,6,0.5430107179652065,1.0,38
